name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,ath,atl,price_distance_from_ath,price_distance_from_atl,volatility_estimate
Bitcoin,btc,70151.0,1403762090921,1,43312218928.0,-0.47801,20001321.0,126080.0,67.81,55929.0,70083.19,126012.19
Ethereum,eth,2061.05,248851846990,2,18293551903.0,-0.45289,120691977.447831,4946.05,0.432979,2885.0,2060.617021,4945.617021
Tether,usdt,0.999982,183957375040,3,67617908818.0,-0.00676,183959901909.3361,1.32,0.572521,0.320018,0.4274610000000001,0.7474790000000001
BNB,bnb,649.41,88557237882,4,862818522.0,-0.47705,136358175.34,1369.99,0.0398177,720.58,649.3701823,1369.9501823
XRP,xrp,1.37,84085622335,5,1930367065.0,-1.32128,61227832454.0,3.65,0.00268621,2.28,1.36731379,3.64731379
USDC,usdc,0.99991,78799483013,6,7323365528.0,-0.00347,78804765627.06169,1.043,0.877647,0.04308999999999996,0.12226300000000001,0.16535299999999997
Solana,sol,86.51,49413952247,7,3697923776.0,-0.80037,571112836.0867158,293.31,0.500801,206.8,86.00919900000001,292.809199
TRON,trx,0.288858,27367375686,8,378359726.0,-0.76079,94746706550.27989,0.431288,0.00180434,0.14243,0.28705366,0.42948366
Figure Heloc,figr_heloc,1.033,16316480089,9,16557466.0,-0.12248,15795960539.747,1.049,0.155357,0.016000000000000014,0.877643,0.893643
Dogecoin,doge,0.094235,14452507748,10,1044341830.0,0.76964,153379876383.7052,0.731578,8.69e-05,0.637343,0.0941481,0.7314911
WhiteBIT Coin,wbt,55.3,11803060018,11,52487057.0,-0.74664,213418274.0,64.11,3.06,8.810000000000002,52.239999999999995,61.05
USDS,usds,0.999911,11182503065,12,17976355.0,-0.00431,11183494175.59978,1.057,0.948265,0.057088999999999945,0.05164599999999997,0.10873499999999992
Cardano,ada,0.261969,9650264234,13,350735347.0,-0.60478,36833527390.06435,3.09,0.01925275,2.8280309999999997,0.24271625000000002,3.0707472499999997
Bitcoin Cash,bch,454.04,9083202654,14,170199450.0,-0.61585,20006449.89665078,3785.82,76.93,3331.78,377.11,3708.8900000000003
Hyperliquid,hype,36.97,8811215461,15,377433540.0,2.92155,238385315.9541414,59.3,3.81,22.33,33.16,55.489999999999995
LEO Token,leo,9.07,8353157389,16,1625343.0,-1.69598,921144077.9,10.14,0.799859,1.0700000000000003,8.270141,9.340141000000001
