antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Christmas & Seasonal,Toys & Novelty,0.25372328944528383,0.3507986186056551,0.13457802719620116,0.5304125903870693,1.5120144785499414,1.0,0.045572247750712794,1.3824931591106022,0.4537602030846554,0.2863704214031461,0.27666911520681314,0.457022938786828
Toys & Novelty,Christmas & Seasonal,0.3507986186056551,0.25372328944528383,0.13457802719620116,0.3836332871865866,1.5120144785499412,1.0,0.045572247750712794,1.2107673809124555,0.5216111386136467,0.2863704214031461,0.17407751830381948,0.457022938786828
Stationery & Craft,Christmas & Seasonal,0.4664903949924455,0.25372328944528383,0.1669004964385927,0.35777906304222096,1.4101151842404167,1.0,0.048541018926479676,1.162024885220735,0.5451412143774933,0.3016383850204798,0.13943323183647427,0.5077921261616889
Christmas & Seasonal,Stationery & Craft,0.25372328944528383,0.4664903949924455,0.1669004964385927,0.6578051892811569,1.4101151842404165,1.0,0.048541018926479676,1.5590815181762097,0.3897188131995861,0.3016383850204798,0.3585967197085466,0.5077921261616889
Party & Celebrations,Garden,0.3844161450464062,0.39272609540254694,0.2128750269803583,0.5537619314991578,1.410046182267435,1.0,0.06190477532658406,1.3608742674904863,0.4724025298769726,0.37725925217557615,0.26517825791206606,0.5479032246119037
Garden,Party & Celebrations,0.39272609540254694,0.3844161450464062,0.2128750269803583,0.5420445177246496,1.4100461822674348,1.0,0.06190477532658406,1.3442002089265692,0.4788668971775815,0.37725925217557615,0.25606320147906786,0.5479032246119037
Stationery & Craft,Toys & Novelty,0.4664903949924455,0.3507986186056551,0.22846967407727176,0.48976286871023716,1.3961368224793285,1.0,0.06482548792111548,1.2723522879515101,0.5318326422537833,0.38801319648093846,0.21405415035642217,0.5705236432460584
Toys & Novelty,Stationery & Craft,0.3507986186056551,0.4664903949924455,0.22846967407727176,0.6512844177818797,1.3961368224793285,1.0,0.06482548792111548,1.5299276321809052,0.4370567146507486,0.38801319648093846,0.346374312767654,0.5705236432460584
Stationery & Craft,Party & Celebrations,0.4664903949924455,0.3844161450464062,0.24530541765594646,0.525853094274147,1.3679266624211808,1.0,0.06597897831177521,1.2982977375149596,0.5041458583177766,0.405061035373786,0.22976065419779904,0.5819888716738506
Party & Celebrations,Stationery & Craft,0.3844161450464062,0.4664903949924455,0.24530541765594646,0.6381246490735542,1.3679266624211806,1.0,0.06597897831177521,1.4742910884692855,0.43692935669599026,0.405061035373786,0.32170789892091695,0.5819888716738506
Garden,Toys & Novelty,0.39272609540254694,0.3507986186056551,0.1842758471832506,0.46922231382247875,1.3375831287122253,1.0,0.04650807542564442,1.2231135526243961,0.415599802354315,0.32950598224623706,0.18241442272115171,0.49726305661897663
Toys & Novelty,Garden,0.3507986186056551,0.39272609540254694,0.1842758471832506,0.5253037994154746,1.337583128712225,1.0,0.04650807542564442,1.2792895832106426,0.38875905375242803,0.32950598224623706,0.21831615521304198,0.49726305661897663
Stationery & Craft,Garden,0.4664903949924455,0.39272609540254694,0.24233757824303906,0.519491035280509,1.322782064553228,1.0,0.05913462687486412,1.263813891488922,0.4573817741007791,0.3928446466060182,0.20874425678144595,0.5682780815314334
Garden,Stationery & Craft,0.39272609540254694,0.4664903949924455,0.24233757824303906,0.6170651277823578,1.3227820645532278,1.0,0.05913462687486412,1.3932123807839905,0.40182456020387447,0.3928446466060182,0.2822343428808187,0.5682780815314334
Bags & Storage,Garden,0.4556442909561839,0.39272609540254694,0.23543060651845457,0.5166982472761724,1.3156707774831036,1.0,0.056487203238770434,1.2565108675375873,0.44076222753407435,0.3841007130909411,0.20414536329500862,0.5580880629071161
Garden,Bags & Storage,0.39272609540254694,0.4556442909561839,0.23543060651845457,0.5994778785380599,1.3156707774831033,1.0,0.056487203238770434,1.359115214552622,0.39509590824273505,0.3841007130909411,0.26422720510183645,0.5580880629071161
Stationery & Craft,Bags & Storage,0.4664903949924455,0.4556442909561839,0.27946255126268077,0.5990746096009254,1.314785725381851,1.0,0.06690886599847778,1.357748154842409,0.448763790047463,0.4348446683459277,0.26348638631288157,0.606204760982367
Bags & Storage,Stationery & Craft,0.4556442909561839,0.4664903949924455,0.27946255126268077,0.6133349123638085,1.314785725381851,1.0,0.06690886599847778,1.3797718544207624,0.4398223227794674,0.4348446683459277,0.2752424998408112,0.606204760982367
Bags & Storage,Party & Celebrations,0.4556442909561839,0.3844161450464062,0.22852363479387006,0.5015395547134059,1.3046786956694048,1.0,0.05336661295209075,1.2349703186571979,0.42899846170699024,0.3736874613959234,0.1902639400375911,0.5480044769636654
Party & Celebrations,Bags & Storage,0.3844161450464062,0.4556442909561839,0.22852363479387006,0.5944693992139247,1.3046786956694045,1.0,0.05336661295209075,1.3423295504424178,0.3793597897703469,0.3736874613959234,0.25502645779465233,0.5480044769636654
Bags & Storage,Toys & Novelty,0.4556442909561839,0.3507986186056551,0.20526656593999568,0.4504973945997157,1.2842051556255856,1.0,0.04542717809701319,1.1814345828650534,0.4065507446145841,0.3414415223049995,0.1535714168998364,0.5178190710885058
Toys & Novelty,Bags & Storage,0.3507986186056551,0.4556442909561839,0.20526656593999568,0.5851407475772957,1.2842051556255856,1.0,0.04542717809701319,1.3121455189076185,0.34089301900689256,0.3414415223049995,0.23788940663188388,0.5178190710885058
Toys & Novelty,Party & Celebrations,0.3507986186056551,0.3844161450464062,0.17062378588387653,0.4863867097369635,1.2652608793999731,1.0,0.035771133231886104,1.1985356816571768,0.32293393868496273,0.3022077797954697,0.16564853653974476,0.4651192392031252
Party & Celebrations,Toys & Novelty,0.3844161450464062,0.3507986186056551,0.17062378588387653,0.4438517686692869,1.265260879399973,1.0,0.035771133231886104,1.1673171734107302,0.3405696192425303,0.3022077797954697,0.14333479984865966,0.4651192392031252
Bags & Storage,Christmas & Seasonal,0.4556442909561839,0.25372328944528383,0.14218648823656377,0.31205589767882513,1.229906400634621,1.0,0.02657891991819679,1.0847926568986095,0.3433967800622076,0.25068975359147555,0.07816485146666577,0.4362278637692296
Christmas & Seasonal,Bags & Storage,0.25372328944528383,0.4556442909561839,0.14218648823656377,0.5603998298596341,1.229906400634621,1.0,0.02657891991819679,1.2382973120096867,0.2504834936563666,0.25068975359147555,0.19243949712120728,0.4362278637692296
Kitchen & Dining,Garden,0.7571767753075761,0.39272609540254694,0.3622922512410965,0.47847776510832385,1.2183498135459547,1.0,0.06492917274506049,1.1644257214145206,0.7380581868732001,0.45998903809262803,0.14120756557556935,0.7004919740628182
Garden,Kitchen & Dining,0.39272609540254694,0.7571767753075761,0.3622922512410965,0.9225061830173125,1.2183498135459545,1.0,0.06492917274506049,3.133452888850109,0.29511834378260177,0.45998903809262803,0.6808632408170744,0.7004919740628182
Christmas & Seasonal,Party & Celebrations,0.25372328944528383,0.3844161450464062,0.11477444420461903,0.4523606975754998,1.176747395770517,1.0,0.017239115367569502,1.1240680722298244,0.20126575608648375,0.21930095886173834,0.11037416264631508,0.3754644588382833
Party & Celebrations,Christmas & Seasonal,0.3844161450464062,0.25372328944528383,0.11477444420461903,0.2985682201010668,1.1767473957705168,1.0,0.017239115367569502,1.063933417248709,0.24399591573247456,0.21930095886173834,0.060091558562036906,0.3754644588382833
